Innings Player,Innings Runs Scored,Innings Runs Scored Num,Innings Minutes Batted,Innings Batted Flag,Innings Not Out Flag,Innings Balls Faced,Innings Boundary Fours,Innings Boundary Sixes,Innings Batting Strike Rate,Innings Number,Opposition,Ground,Innings Date,Country,50's,100's,Innings Runs Scored Buckets
AD Hales,116*,116,97,1,1,64,11,6,181.25,2,v Sri Lanka,Chattogram,27-03-2014,England,0,1,100-149
DJ Malan,103*,103,79,1,1,51,9,6,201.96,1,v New Zealand,Napier,08-11-2019,England,0,1,100-149
LJ Wright,99*,99,83,1,1,55,8,6,180,1,v Afghanistan,Colombo (RPS),21-09-2012,England,1,0,50-99
AD Hales,99,99,84,1,0,68,6,4,145.58,2,v West Indies,Nottingham,24-06-2012,England,1,0,50-99
AD Hales,94,94,80,1,0,61,11,2,154.09,1,v Australia,Chester-le-Street,31-08-2013,England,1,0,50-99
EJG Morgan,91,91,59,1,0,41,7,7,221.95,1,v New Zealand,Napier,08-11-2019,England,1,0,50-99
JE Root,90*,90,77,1,1,49,13,1,183.67,2,v Australia,Southampton,29-08-2013,England,1,0,50-99
SW Billings,87,87,-,1,0,47,10,3,185.1,1,v West Indies,Basseterre,08-03-2019,England,1,0,50-99
EJG Morgan,85*,85,54,1,1,45,7,5,188.88,1,v South Africa,Johannesburg,13-11-2009,England,1,0,50-99
JE Root,83,83,70,1,0,44,6,4,188.63,2,v South Africa,Mumbai,18-03-2016,England,1,0,50-99
AD Hales,80*,80,50,1,1,42,9,4,190.47,2,v New Zealand,Wellington,15-02-2013,England,1,0,50-99
EJG Morgan,80*,80,75,1,1,46,4,6,173.91,1,v New Zealand,Hamilton,18-02-2018,England,1,0,50-99
PD Collingwood,79,79,47,1,0,41,5,4,192.68,2,v West Indies,The Oval,28-06-2007,England,1,0,50-99
KP Pietersen,79,79,41,1,0,37,7,4,213.51,1,v Zimbabwe,Cape Town,13-09-2007,England,1,0,50-99
JJ Roy,78,78,50,1,0,44,11,2,177.27,2,v New Zealand,Delhi,30-03-2016,England,1,0,50-99
DJ Malan,78,78,60,1,0,44,12,2,177.27,1,v South Africa,Cardiff,25-06-2017,England,1,0,50-99
LJ Wright,76,76,59,1,0,43,5,5,176.74,2,v New Zealand,Pallekele,29-09-2012,England,1,0,50-99
EJG Morgan,74,74,50,1,0,39,3,7,189.74,1,v Australia,Cardiff,31-08-2015,England,1,0,50-99
KP Pietersen,73*,73,59,1,1,52,8,2,140.38,2,v Pakistan,Bridgetown,06-05-2010,England,1,0,50-99
JC Buttler,73*,73,-,1,1,49,3,4,148.97,2,v Sri Lanka,Southampton,05-07-2016,England,1,0,50-99
MM Ali,72*,72,70,1,1,46,6,3,156.52,1,v Australia,Cardiff,31-08-2015,England,1,0,50-99
ME Trescothick,72,72,78,1,0,58,9,1,124.13,2,v Sri Lanka,Southampton,15-06-2006,England,1,0,50-99
EJG Morgan,71*,71,46,1,1,36,4,5,197.22,2,v West Indies,Pallekele,27-09-2012,England,1,0,50-99
LJ Wright,71,71,75,1,0,49,8,0,144.89,1,v Netherlands,Lord's,05-06-2009,England,1,0,50-99
EJG Morgan,71,71,36,1,0,31,3,7,229.03,1,v India,Birmingham,07-09-2014,England,1,0,50-99
JJ Roy,70,70,63,1,0,38,7,3,184.21,2,v South Africa,East London,12-02-2020,England,1,0,50-99
JC Buttler,69,69,-,1,0,46,8,2,150,1,v India,Manchester,03-07-2018,England,1,0,50-99
JJ Roy,69,69,-,1,0,36,4,6,191.66,1,v Sri Lanka,Colombo (RPS),27-10-2018,England,1,0,50-99
AD Hales,68,68,80,1,0,51,5,2,133.33,2,v West Indies,Pallekele,27-09-2012,England,1,0,50-99
JE Root,68,68,60,1,0,46,8,1,147.82,1,v New Zealand,Manchester,23-06-2015,England,1,0,50-99
JM Bairstow,68,68,-,1,0,40,9,2,170,2,v West Indies,Gros Islet,05-03-2019,England,1,0,50-99
EJG Morgan,67*,67,61,1,1,51,7,2,131.37,2,v Pakistan,Dubai (DSC),19-02-2010,England,1,0,50-99
SR Patel,67,67,65,1,0,48,8,2,139.58,2,v Sri Lanka,Pallekele,01-10-2012,England,1,0,50-99
JC Buttler,67,67,60,1,0,43,5,3,155.81,1,v West Indies,Bridgetown,11-03-2014,England,1,0,50-99
JJ Roy,67,67,72,1,0,45,9,1,148.88,2,v South Africa,Taunton,23-06-2017,England,1,0,50-99
JJ Roy,67,67,-,1,0,31,4,7,216.12,1,v India,Bristol,08-07-2018,England,1,0,50-99
JC Buttler,66*,66,47,1,1,37,8,2,178.37,1,v Sri Lanka,Delhi,26-03-2016,England,1,0,50-99
AD Hales,66,66,77,1,0,41,7,2,160.97,2,v Sri Lanka,The Oval,20-05-2014,England,1,0,50-99
RS Bopara,65*,65,40,1,1,27,2,7,240.74,2,v Australia,Hobart,29-01-2014,England,1,0,50-99
JM Bairstow,64,64,50,1,0,34,7,3,188.23,2,v South Africa,Centurion,16-02-2020,England,1,0,50-99
C Kieswetter,63,63,72,1,0,49,7,2,128.57,2,v Australia,Bridgetown,16-05-2010,England,1,0,50-99
